dbn,school_name,beds,location_name,ncessch,combokey
25Q499,"The Queens College School for Math, Science and Technology",342500011499,"The Queens College School for Math, Science and Te",360012204175,362058004175
25Q525,Townsend Harris High School,342500011525,Townsend Harris High School,360012204485,362058004485
25Q540,Queens Academy High School,342500011540,Queens Academy High School,360012205503,362058005503
25Q670,Robert F. Kennedy Community High School,342500011670,Robert F. Kennedy Community High School,360012200954,362058000954
25Q792,North Queens Community High School,342500011792,North Queens Community High School,360012205980,362058005980
26Q018,P.S. 018 Winchester,342600010018,P.S. 018 Winchester,360009902099,362058002099
26Q026,P.S. 026 Rufus King,342600010026,P.S. 026 Rufus King,360009902129,362058002129
26Q031,P.S. 031 Bayside,342600010031,P.S. 031 Bayside,360009902145,362058002145
26Q041,P.S. 041 Crocheron,342600010041,P.S. 041 Crocheron,360009902183,362058002183
26Q046,P.S. 046 Alley Pond,342600010046,P.S. 046 Alley Pond,360009902203,362058002203
26Q067,J.H.S. 067 Louis Pasteur,342600010067,J.H.S. 067 Louis Pasteur,360009902281,362058002281
26Q074,J.H.S. 074 Nathaniel Hawthorne,342600010074,J.H.S. 074 Nathaniel Hawthorne,360009902301,362058002301
26Q094,P.S. 094 David D. Porter,342600010094,P.S. 094 David D. Porter,360009902358,362058002358
26Q098,P.S. 098 The Douglaston School,342600010098,P.S. 098 The Douglaston School,360009902372,362058002372
26Q115,P.S. 115 Glen Oaks,342600010115,P.S. 115 Glen Oaks,360009902428,362058002428
26Q133,P.S. 133 Queens,342600010133,P.S. 133 Queens,360009902488,362058002488
26Q158,M.S. 158 Marie Curie,342600010158,M.S. 158 Marie Curie,360009902568,362058002568
26Q159,P.S. 159,342600010159,P.S. 159,360009902571,362058002571
26Q162,P.S. 162 John Golden,342600010162,P.S. 162 John Golden,360009902580,362058002580
26Q172,Irwin Altman Middle School 172,342600010172,Irwin Altman Middle School 172,360009902608,362058002608
26Q173,P.S. 173 Fresh Meadows,342600010173,P.S. 173 Fresh Meadows,360009902610,362058002610
26Q178,P.S./ IS 178 Holliswood,342600010178,P.S./ IS 178 Holliswood,360009902622,362058002622
26Q186,P.S. 186 Castlewood,342600010186,P.S. 186 Castlewood,360009902642,362058002642
26Q188,P.S. 188 Kingsbury,342600010188,P.S. 188 Kingsbury,360009902646,362058002646
26Q191,P.S. 191 Mayflower,342600010191,P.S. 191 Mayflower,360009902654,362058002654
26Q203,P.S. 203 Oakland Gardens,342600010203,P.S. 203 Oakland Gardens,360009902687,362058002687
26Q205,P.S. 205 Alexander Graham Bell,342600010205,P.S. 205 Alexander Graham Bell,360009902693,362058002693
26Q213,P.S. 213 The Carl Ullman School,342600010213,P.S. 213 The Carl Ullman School,360009902709,362058002709
26Q216,J.H.S. 216 George J. Ryan,342600010216,J.H.S. 216 George J. Ryan,360009902716,362058002716
26Q221,P.S. 221 The North Hills School,342600010221,P.S. 221 The North Hills School,360009902726,362058002726
26Q266,P.S. / I.S. 266,342600010266,P.S. / I.S. 266,360009905567,362058005567
26Q415,Benjamin N. Cardozo High School,342600011415,Benjamin N. Cardozo High School,360009901919,362058001919
26Q430,Francis Lewis High School,342600011430,Francis Lewis High School,360009901953,362058001953
26Q435,Martin Van Buren High School,342600011435,Martin Van Buren High School,360009902030,362058002030
26Q495,Bayside High School,342600011495,Bayside High School,360009901917,362058001917
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",342600011566,"Queens High School of Teaching, Liberal Arts and t",360009905536,362058005536
27Q042,P.S./M.S 042 R. Vernam,342700010042,P.S./M.S 042 R. Vernam,360012302190,362058002190
27Q043,P.S. 043,342700010043,P.S. 043,360012302512,362058002512
27Q045,P.S. 045 Clarence Witherspoon,342700010045,P.S. 045 Clarence Witherspoon,360012302198,362058002198
27Q047,P.S. 047 Chris Galas,342700010047,P.S. 047 Chris Galas,360012302208,362058002208
27Q051,P.S. 051,342700010051,P.S. 051,360012301790,362058001790
27Q053,M.S. 053 Brian Piccolo,342700010053,M.S. 053 Brian Piccolo,360012301972,362058001972
27Q056,P.S. 056 Harry Eichler,342700010056,P.S. 056 Harry Eichler,360012304352,362058004352
27Q060,P.S. 060 Woodhaven,342700010060,P.S. 060 Woodhaven,360012302259,362058002259
27Q062,P. S. 62 - Chester Park School,342700010062,P. S. 62 - Chester Park School,360012302265,362058002265
27Q063,P.S. 063 Old South,342700010063,P.S. 063 Old South,360012302268,362058002268
27Q064,P.S. 064 Joseph P. Addabbo,342700010064,P.S. 064 Joseph P. Addabbo,360012302273,362058002273
27Q065,P.S. 65 - The Raymond York Elementary School,342700010065,P.S. 65 - The Raymond York Elementary School,360012302516,362058002516
27Q066,P.S. 066 Jacqueline Kennedy Onassis,342700010066,P.S. 066 Jacqueline Kennedy Onassis,360012302278,362058002278
27Q090,P.S. 090 Horace Mann,342700010090,P.S. 090 Horace Mann,360012302345,362058002345
27Q096,P.S. 096,342700010096,P.S. 096,360012302365,362058002365
27Q097,P.S. 097 Forest Park,342700010097,P.S. 097 Forest Park,360012302369,362058002369
27Q100,P.S. 100 Glen Morris,342700010100,P.S. 100 Glen Morris,360012302379,362058002379
